Transaction Size (bytes),Number of Transactions,Architecture,Mechanism,Memory Type,Pattern,RISC-V Processor,Run Host ID,Master Grid Dimensions,Subordinate Grid Dimensions,Number of Cores,Total Bytes,Latency (cycles),Combined Bandwidth (bytes/cycle)
64,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,222208,4x4,1x1,16,1024,454.0,2.2555066079295156
128,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,223232,4x4,1x1,16,2048,449.0,4.5612472160356345
256,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,224256,4x4,1x1,16,4096,482.0,8.49792531120332
512,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,225280,4x4,1x1,16,8192,609.0,13.451559934318555
1024,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,226304,4x4,1x1,16,16384,887.0,18.471251409244644
2048,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,227328,4x4,1x1,16,32768,1478.0,22.170500676589988
4096,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,228352,4x4,1x1,16,65536,2625.0,24.96609523809524
8192,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,229376,4x4,1x1,16,131072,4953.0,26.463153644256007
16384,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,230400,4x4,1x1,16,262144,9526.0,27.518790678144025
32768,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,231424,4x4,1x1,16,524288,18716.0,28.0128232528318
65536,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,232448,4x4,1x1,16,1048576,37090.0,28.271124292262066
32,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,233472,4x4,1x1,16,8192,3363.0,2.4359203092476953
64,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,234496,4x4,1x1,16,16384,3368.0,4.864608076009501
128,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,235520,4x4,1x1,16,32768,3371.0,9.72055769801246
256,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,236544,4x4,1x1,16,65536,3364.0,19.48156956004756
512,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,237568,4x4,1x1,16,131072,5188.0,25.264456437933692
1024,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,238592,4x4,1x1,16,262144,9834.0,26.65690461663616
2048,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,239616,4x4,1x1,16,524288,18864.0,27.793044953350297
4096,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,240640,4x4,1x1,16,1048576,37209.0,28.18070896826037
8192,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,241664,4x4,1x1,16,2097152,73911.0,28.37401739930457
16384,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,242688,4x4,1x1,16,4194304,147500.0,28.4359593220339
32768,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,243712,4x4,1x1,16,8388608,296260.0,28.31502059002228
65536,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,244736,4x4,1x1,16,16777216,588904.0,28.48888104003369
32,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,245760,4x4,1x1,16,131072,49509.0,2.647437839584722
64,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,246784,4x4,1x1,16,262144,49450.0,5.301193124368049
